Array region pa: 0x106200000, belong to hugepage: 0x106200000, index: 0
memory write test
retries is 10

pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2550, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2600, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2650, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2700, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2750, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2800, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2850, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2900, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.2950, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3000, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3050, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3100, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3150, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3200, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3250, fault_width 0.000050, index 0
pre_volt 0.2500, pre_width 0.000015, fault_volt 0.3300, fault_width 0.000050, index 0
