Create Enclave...

pre_volt 0.1200, pre_width 0.002750, fault_volt 0.2850, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.2900, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.2950, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3000, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3050, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3100, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3150, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3200, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3250, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3300, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3350, fault_width 0.000050, delay 0.000000
pre_volt 0.1200, pre_width 0.002750, fault_volt 0.3400, fault_width 0.000050, delay 0.000000
