init RSA...
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0710, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0740, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0770, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0800, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0830, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0860, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0890, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0920, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0950, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.0980, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.1010, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.1040, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.1070, fault_width 0.000055, delay 0.000000
pre_volt 0.0480, pre_width 0.000040, fault_volt 0.1100, fault_width 0.000055, delay 0.000000
